Fold,Actual_CBR,Predicted_CBR,Residual
1,4.34,4.5976,0.2576
1,7.91,7.6968,0.2132
1,5.25,3.8501,1.3999
1,7.34,7.5765,0.2365
1,5.64,5.8225,0.1825
1,5.05,4.3774,0.6726
1,4.93,4.7262,0.2038
1,3.26,3.3737,0.1137
1,2.2,2.1758,0.0242
1,2.9,3.4772,0.5772
1,2.6,2.5428,0.0572
1,4.0,4.026,0.026
1,3.1,4.1305,1.0305
1,2.3,3.7711,1.4711
1,2.4,2.6351,0.2351
1,3.4,3.404,0.004
1,3.7,3.1167,0.5833
1,2.5,3.8346,1.3346
1,30.0,28.4721,1.5279
1,15.0,14.8481,0.1519
1,24.76,16.8692,7.8908
1,18.78,18.3478,0.4322
1,18.73,4.8254,13.9046
1,17.78,7.1349,10.6451
1,0.53,0.519,0.011
1,0.3,0.3698,0.0698
1,0.35,0.3607,0.0107
1,0.46,0.3607,0.0993
1,0.48,0.3607,0.1193
1,0.9,0.5791,0.3209
1,0.18,0.3315,0.1515
1,0.33,0.3698,0.0398
1,0.47,0.4084,0.0616
1,0.27,0.3315,0.0615
1,0.29,0.3698,0.0798
1,0.9,0.6457,0.2543
1,0.33,0.3315,0.0015
1,5.6,4.8063,0.7937
1,4.0,4.087,0.087
1,3.57,3.8107,0.2407
1,5.1,4.6713,0.4287
1,3.79,4.087,0.297
1,4.0,3.8685,0.1315
1,4.0,3.8685,0.1315
1,4.1,4.1998,0.0998
1,4.0,4.1998,0.1998
1,3.69,3.8836,0.1936
1,3.52,3.8107,0.2907
1,3.52,3.8836,0.3636
1,4.0,3.8148,0.1852
1,3.5,3.8148,0.3148
1,4.3,3.7752,0.5248
1,4.0,3.7942,0.2058
1,4.0,3.6937,0.3063
1,3.11,3.4229,0.3129
1,3.66,3.4897,0.1703
1,3.01,3.3932,0.3832
1,2.97,3.5713,0.6013
1,3.82,3.84,0.02
1,4.0,4.006,0.006
1,4.03,3.9746,0.0554
1,3.69,3.8078,0.1178
1,3.08,3.9738,0.8938
1,4.03,3.9746,0.0554
1,3.25,3.8078,0.5578
1,3.6,3.7698,0.1698
1,3.25,3.7401,0.4901
1,3.11,3.5176,0.4076
1,2.91,3.5176,0.6076
1,13.55,6.287,7.263
1,5.04,4.7888,0.2512
1,3.8,4.7354,0.9354
1,5.6,6.2147,0.6147
1,2.54,3.6,1.06
1,3.12,4.5915,1.4715
